流水,華語,台語,台羅,備存對照
292,八字,八字,peh-jī/pueh-lī,98
293,八字腳,八字跤,pat-jī-kha/pat-lī-kha,101
294,八角,八角,peh-kak/pueh-kak,109
295,八里坌,八里坌,Pat-lí-hun,40003
296,八里鄉,八里區,Pat-lí-khu,35049
297,八卦,八卦,pat-kuà,113
298,八卦山,八卦山,Pat-kuà-san,32002
299,八芝蘭,八芝蘭,Pat-tsi-lân,40006
300,八珍,八珍,pat-tin,126
301,八哥,鵁鴒,ka-līng,12505
302,八家將,八家將,pat-ka-tsiòng,135
303,八堵,八堵,Peh-tóo,34117
304,八敗命,破格,phuà-keh,6419
305,八通關,八通關大山,Pat-thong-kuan-tuā-suann,32004
306,八掌溪,八掌溪,Pat-tsiáng-khe,38036
307,八塊厝,八塊厝,Peh-tè-tshù,40009
308,八德市,八德市,Pat-tik-tshī,35077
309,刀,刀,to,57
310,刀刃,刀喙,to-tshuì,147
311,刀口,刀喙,to-tshuì,147
312,刀子主體,刀肉,to-bah,105
313,刀具,刀具,to-kū,51267
314,刀柄,刀柄,to-pènn/to-pìnn,125
315,刀背,刀銎,to-khing,154
316,刀背,銎,khing,10938
317,刁難,刁,tiau,58
318,刁難,刁古董,tiau-kóo-tóng,91
319,刁難,刁難,thiau-lân,167
320,刁難,放聲,pàng-siann,4173
321,力,力,la̍t,59
322,力,力,li̍k,60
323,力氣,力量,li̍k-liōng,151
324,力氣,力頭,la̍t-thâu,164
325,力氣,氣力,khuì-la̍t,6178
326,力量,力量,li̍k-liōng,151
327,力量,氣力,khuì-la̍t,6178
328,力道,力頭,la̍t-thâu,164
329,力學,力學,li̍k-ha̍k,52592
330,十,十,tsa̍p,61
331,十,十,si̍p,62
332,十二分,十二分,tsa̍p-jī-hun/tsa̍p-lī-hun,70
333,十二生肖,十二生相,tsa̍p-jī senn-siùnn/tsa̍p-lī sinn-siùnn,71
334,十二指腸,十二指腸,si̍p-jī-tsí-tn̂g/si̍p-lī-tsí-tn̂g,72
